StudyDescription	Modality	platform	frequency
LTRC	CT, nan	IDC,TCIA	4
LEFT Unilat Mammogram with Tomo	MG	ACRdart,IDC	4
L I V E R	SEG, nan	IDC,TCIA	4
KT klatki piersiowej bez i z CE z ujeciem nadbrzusza	CT, nan	IDC,TCIA	4
Thorax^LARGE_CHEST_LOW_DOSE (Adult)	nan	TCIA	4
KLP +C	CT, nan	IDC,TCIA	4
JOINY CT C/A/P WITH	CT	MIDRC	4
JHN CAP W/WO IP	CT	MIDRC	4
JHN CAP W IP	CT	MIDRC	4
CTABDPELW	RTSTRUCT, nan	IDC,TCIA	4
JCCI CT LUNG SCREENING	CT	MIDRC	4
CT_Abd/Pel	CT, nan	IDC,TCIA	4
XR LEFT ANKLE 2 VIEWS	CR, DX	MIDRC	4
XR KUB 1V PORTABLE	CR	MIDRC	4
JCCI CT CHEST ENHANCED	CT	MIDRC	4
Thorax^LOW_DOSE_LUNG_UNDER_30_BMI (Adult)	CT	MIDRC	4
XR RIBS RIGHT - 2 VIEWS	CR	MIDRC	4
CTA ABDOMEN PELVIS WWO CONTRAST (AORTA)	CT	MIDRC	4
CT008   CT ABDOMEN W CO	CT, nan	IDC,TCIA	4
CT UROGRAM WITHOUT 3D RECONSTRUCTIONS	RTSTRUCT, CT, nan	IDC,TCIA	4
MAMMO DIAGNOSTIC DIGITAL LEFT	MG, nan	IDC,TCIA	4
Thorax^CHEST_W_CONTRAST (Adult)	SEG, nan	IDC,TCIA	4
MAMMO 3D DIAG RIGHT	MG	ACRdart,IDC	4
CT Thorax w/ Contrast	CT	MIDRC	4
XR RIGHT FINGERS	CR, DX	MIDRC	4
XR RIGHT ELBOW 3+ VIEWS	CR, DX	MIDRC	4
CT Thorax with Contrast	SEG, nan	IDC,TCIA	4
CT UROGRAM WITH CHEST	CT, nan	IDC,TCIA	4
CT UROGRAPHY CT ABDOME	RTSTRUCT, SEG, nan	IDC,TCIA	4
CT/C-A-P	CT, SEG, nan	IDC,TCIA	4
CT Urogram (1)	CT, nan	IDC,TCIA	4
Thorax^CT_CA_WITH (Adult)	CT	MIDRC	4
XR RIBS, LEFT	DX	MIDRC	4
Lung V/Q Scan	NM, nan	IDC,TCIA	4
XR RIBS, BILATERAL	DX	MIDRC	4
Lung Perfusion Scan	CT, nan	IDC,TCIA	4
CT,ABDOMEN W&W/O CONTRAST	CT, nan	IDC,TCIA	4
CT-CH/A/P	CT, SEG, nan	IDC,TCIA	4
Thorax^LOW_DOSE_NODULE_FU_WO_CM (Adult)	CT	MIDRC	4
Thorax^LungRoutine	CT, nan	IDC,TCIA	4
Implant Screening - ComboHD	MG, nan	IDC,TCIA	4
Vascular^NEW_PE_CTA_ 22 (Adult)	CT	MIDRC	4
DIGITAL MAMMOGRAM,UNILATERAL	MG, nan	IDC,TCIA	4
Diagnostic Acquisition	PT, nan	IDC,TCIA	4
Diagnostic Mammography	MG	ACRdart,IDC	4
Upper-Abdomen +c	CT, nan	IDC,TCIA	4
Diagnostic Mammography Combo	MR, MG	ACRdart	4
Vascular^02_PE (Adult)	CT, nan	IDC,TCIA	4
Digital Right Mammogram Diagnostic	MG, nan	IDC,TCIA	4
Vascular^DISSECTION_CAP_CTA (Adult)	CT	MIDRC	4
X-RAY CERVICAL SPINE MINIMUM 4 VIEWS	CR, DX	MIDRC	4
US PELVIS W TRANSVAGINAL	US, nan	IDC,TCIA	4
F/U	CT, nan	IDC,TCIA	4
FDG 5 AFOV TORSO	CT, SEG, nan	IDC,TCIA	4
H DIGITAL SCREEN/TOMO,CVIEW & CAD	MG	ACRdart,IDC	4
H DIGITAL SCREEN TOMO CVIEW AND CAD	MG	ACRdart,IDC	4
WB PET-CT	CT, SEG, nan	IDC,TCIA	4
WB PET/CT W/ DELAYS	SEG, nan	IDC,TCIA	4
WB emission scan 2i/8s	PT, nan	IDC,TCIA	4
FL ESOPHAGRAM	RF	MIDRC	4
USABDLCON/4228	US, nan	IDC,TCIA	4
US Kidney	US, nan	IDC,TCIA	4
Outside Read or Comparison PET	SEG, PT, nan	IDC,TCIA	4
Trio RoutineHead	RTPLAN, nan	IDC,TCIA	4
XR ABDOMEN 1 VW	DX	MIDRC	4
CT_LSpine	CT, nan	IDC,TCIA	4
CT_LungBiopsy	CT, nan	IDC,TCIA	4
CT_biopsybonemarrow	CT, nan	IDC,TCIA	4
CT_biopsyliver	CT, nan	IDC,TCIA	4
Thyroid	US	ACRdart	4
TomoHD Unilateral Right	MG, nan	IDC,TCIA,ACRdart	4
Tomoscintigrafia PET t	SEG, PT, nan	IDC,TCIA	4
Head^HEAD_Routine (Adult)	CT	MIDRC	4
Head^CT_MAXILLOFACIAL_WITH (Adult)	CT	MIDRC	4
Chest CT Routine	CT, nan	IDC,TCIA	4
Chest Contrast	CT, nan	IDC,TCIA	4
Chest PA+LAT	DX	MIDRC	4
X-RAY SACRUM AND COCCYX MINIMUM 2 VIEWS	DX	MIDRC	4
UNKNOWN	US	ACRdart	4
Chest With Contrast	CT, nan	IDC,TCIA	4
Head^DE_CTA_NECK_Customized (Adult)	CT	MIDRC	4
US Biopsy Liver	US, nan	IDC,TCIA	4
MAMMO DIGITAL TOMOSYNTHESIS DIAGNOSTIC BILATERAL	MG	ACRdart,IDC	4
XR RIGHT KNEE 3 VIEWS	CR, DX	MIDRC	4
_t3of5MRI IAMS	MR, nan	IDC,TCIA	4
CT THORAX WITH CONTRAS	RTSTRUCT, CT, nan	IDC,TCIA	4
SPINE PROTOCOLS^SMALL ANIMAL	MR, nan	IDC,TCIA	4
SPINE^L-SPINE	MR	MIDRC	4
SV	US	ACRdart	4
CT HEAD WWO CONTRAST	CT	MIDRC	4
CT HEART FOR CONGENITAL HEART DISEASE	CT	MIDRC	4
CT HI RES CHEST	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x0.75	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x1.5	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-100_Pitch-0.9_SlCol-16x1.5mm	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x0.75	CT, nan	IDC,TCIA	4
MR BREAST BI UE	MR, nan	IDC,TCIA	4
Scanner-Philips_Exp-100_Pitch-1.2_SlCol-16x1.5	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x0.75	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x1.5	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-200_Pitch-0.9_SlCol-16x1.5mm	CT, nan	IDC,TCIA	4
_t2of2  MRI IAMS	MR, nan	IDC,TCIA	4
Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x0.75	CT, nan	IDC,TCIA	4
_t2of2  External Images for PACS	MR, nan	IDC,TCIA	4
CT LUNG BIOPSY	CT, nan	IDC,TCIA	4
SOFT TISSUE NECK	CR	MIDRC	4
MR BREAST UNILATERAL W/WO CONT	nan	TCIA	4
CT HEAD (BRAINLAB) WO CONTRAST PRE-OP	CT	MIDRC	4
MR PELVIS W/WO CONTRAST	MR, nan	IDC,TCIA	4
_t3of5  External Images for PACS	MR, nan	IDC,TCIA	4
Pelvic Cavity CT Routine	CT, nan	IDC,TCIA	4
MR TOTAL SPINE WITH AND WITHOUT CONTRAST	MR	MIDRC	4
Performed Desc	CR, DX	MIDRC	4
CT Chest-w/Contrast	CT, nan	IDC,TCIA	4
Port - CXR	DX	MIDRC	4
_t3of3  MRI Stereo Gamma Knife	MR, nan	IDC,TCIA	4
CT Chest/Abdomen	CT, nan	IDC,TCIA	4
MR LT BREAST WO/W CONT 6667	MR, nan	IDC,TCIA	4
SCREENING MAMMO/TOMO BIL W CAD	MG	ACRdart,IDC	4
_t2of3External Images for PACS	MR, nan	IDC,TCIA	4
MR LT BREAST WO/W CONT	MR, nan	IDC,TCIA	4
RT BREAST BIOPSY	MR, nan	IDC,TCIA	4
RT^RCCT_THORAX_8F (Adult)	RTSTRUCT, CT	IDC	4
MR DIAGNOSTIC BILAT BREAST WANDW/O CONTRAST	MR	ACRdart,IDC	4
MR CHOLANGIOPANCREATOGRAPHY	MR	MIDRC	4
CT GUIDED BIOPSY:  KIDNEY	CT, nan	IDC,TCIA	4
RoutineImage Guidance	RTDOSE, RTSTRUCT, nan	IDC,TCIA	4
CT LUNG BX	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x0.75	CT, nan	IDC,TCIA	4
CT NECK SOFT TISSUE  W/ CONTR	CT, nan	IDC,TCIA	4
Thorax^13_0_Chest_Biphase_Liver (Adult)	SEG, nan	IDC,TCIA	4
CT THORAX  WITH AND WI	CT, nan	IDC,TCIA	4
MC prostaat kliniek stadiering_mc MCPROSKL45	MR, nan	IDC,TCIA	4
_t11of11_MRI IAMS WITH CONTRAST	MR, nan	IDC,TCIA	4
Thorax^09_0_Chest_PE_Study (Adult)	CT, nan	IDC,TCIA	4
_t11of11_MRI IAMS	MR, nan	IDC,TCIA	4
Thorax^1 Chest Routine	CT, nan	IDC,TCIA	4
XR_biopsybonemarrow	XA, nan	IDC,TCIA	4
CT THORAX W CONT	CT, SEG, nan	IDC,TCIA	4
XR WRIST LEFT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	4
CT STONE STUDY(Adult)	CT	MIDRC	4
MAMMOGRAM/ULTRASOUND	US	ACRdart	4
CT THORAX W IV CONTRAS	SEG, nan	IDC,TCIA	4
MAMMOGRAM SCREENING BILATERAL W/TOMO	MG	IDC	4
Thorax^CAP_WITHOUT_Customized (Adult)	CT	MIDRC	4
Thorax^CHEST_ABD_PEL (Adult)	CT, nan	IDC,TCIA	4
XR RIGHT WRIST 1-2 VIEWS	CR, DX	MIDRC	4
XR RIGHT TIBIA FIBULA 2 VIEWS	CR, DX	MIDRC	4
MAMMO TOMO SCREEENING BILATERAL	MG	ACRdart,IDC	4
_t1of1  MRI IAMS	MR, nan	IDC,TCIA	4
_t1of11  External Images for PACS	MR, nan	IDC,TCIA	4
Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x1.5	CT, nan	IDC,TCIA	4
_t1of5  External Images for PACS	MR, nan	IDC,TCIA	4
Scanner-Philips_Exp-25_Pitch-0.9_SlCol-16x1.5mm	CT, nan	IDC,TCIA	4
_t1of8  External Images for PACS	MR, nan	IDC,TCIA	4
MR ABDOMEN/PELVIS WITH AND WITHOUT CONTRAST	MR	MIDRC	4
MR ABDOMEN WITHOUT CONTRAST	MR, nan	IDC,TCIA,MIDRC	4
CT OUTSIDE IMAGING, REFERENCE ONLY	CT, nan	IDC,TCIA	4
CT Outside CD Import	SEG, nan	IDC,TCIA	4
Scanner-Philips_Exp-25_Pitch-1.2_SlCol-16x1.5mm	CT, nan	IDC,TCIA	4
CT P CHEST WO	CT	MIDRC	4
MR 6667 BREAST WO/W CONT	MR, nan	IDC,TCIA	4
TRIPLE RO	CT, nan	IDC,TCIA	4
CT PELVIS W/ CONTRAST, CT ABDOMEN W/WO CONTRAST	CT, SEG, nan	IDC,TCIA	4
TAP W/C	SEG, nan	IDC,TCIA	4
TK JAMY BRZUSZNE	RTSTRUCT, nan	IDC,TCIA	4
_t1of4  External Images for PACS	MR, nan	IDC,TCIA	4
TK jamy brzusznej	RTSTRUCT, nan	IDC,TCIA	4
_t1of3_MRI External Films	MR, nan	IDC,TCIA	4
CT Pelvis w/ Contrast	CT, nan	IDC,TCIA	4
TOMOGRAFIA KLATKI PIER	CT, nan	IDC,TCIA	4
Scanner-Philips_Exp-200_Pitch-1.2_SlCol-16x1.5	CT, nan	IDC,TCIA	4
#NAME?	MR	ACRdart	4
CT ABDOMEN/PELVIS WITHOUT CONTRAST (S)	CT	MIDRC	4
CT ANGIO KIDNEY WITH CH/PEL	CT, SEG, nan	IDC,TCIA	4
CAP W	SEG, nan	IDC,TCIA	4
CT Abd and Pelvis with cont	CT, nan	IDC,TCIA	4
A-P	CT, nan	IDC,TCIA	4
CAP IP	CT	MIDRC	4
A/P	CT, nan	IDC,TCIA	4
A/P LIVER	SEG, nan	IDC,TCIA	4
CT C/A/P LIVER PROT	SEG, nan	IDC,TCIA	4
ABD (ADRENAL SURG )	CT, SEG, nan	IDC,TCIA	4
CT C/A/P W/O WITH	SEG, nan	IDC,TCIA	4
Breast^Bilateral Tumor	MR, nan	IDC,TCIA	4
CT ABDOMEN & PELVIS ENHANCED-BODY	CT, nan	IDC,TCIA	4
ABD (ADRENAL)	CT, SEG, nan	IDC,TCIA	4
ABD CT W&W/OC	CT, nan	IDC,TCIA	4
Breast-Left	MR, SEG	IDC	4
Biopsy_Liver	CT, nan	IDC,TCIA	4
CT ABDOMEN +/- AUGMENT=AB	RTSTRUCT, nan	IDC,TCIA	4
BRZUCH	RTSTRUCT, nan	IDC,TCIA	4
ABD/PELVIS WITH	CT, nan	IDC,TCIA	4
CT ABDOMEN AND PELVIS WITH AND WITHOUT CONTRAST	RTSTRUCT, CT, nan	IDC,TCIA	4
BREAST^RESEARCH STUDY	MR	ACRdart	4
CT CAP LIVER PROTO	SEG, nan	IDC,TCIA	4
CT ABDOMEN PELVIS WITH	RTSTRUCT, CT, nan	IDC,TCIA	4
CT CAP ROUTINE	CT, SEG, nan	IDC,TCIA	4
BREAST RIGHT	MR, nan	IDC,TCIA	4
CT ABDOMEN PELVIS WWO CONTRAST	CT	MIDRC	4
ABDOMEN W/WO	CT, nan	IDC,TCIA	4
BREAST (L)	MR, nan	IDC,TCIA	4
ACRIN 6667	MR, nan	IDC,TCIA	4
BR-BreastBwc MR	MR, nan	IDC,TCIA	4
CAP W CONTRAST	SEG, nan	IDC,TCIA	4
CAP(ADRENAL)	CT, nan	IDC,TCIA	4
CAP/LIVER W.WO	CT, nan	IDC,TCIA	4
CT BIOPSY	CT, nan	IDC,TCIA	4
CT Abdomen and Pelvis W/ Contrast	CT	MIDRC	4
CONTRA BREAST LEFT	MR, nan	IDC,TCIA	4
CHEST/ABDOMEN/PELVIS CT	CT, nan	IDC,TCIA	4
CONTRABREAST  LEFT	MR, nan	IDC,TCIA	4
CONTRABREAST LEFT	MR, nan	IDC,TCIA	4
CHEST+C	CT, SEG, nan	IDC,TCIA	4
CHEST WO OP	CT	MIDRC	4
CHEST WO - nodule or mass with ion(Adult)	CT	MIDRC	4
CT Abdomen, Pelvis, w/contrast	SEG, nan	IDC,TCIA	4
CHEST W/WO CONTRAST (CT)-CS	CT	MIDRC	4
5AFOV LUNGS	PT, nan	IDC,TCIA	4
CT A/P	CT, SEG, nan	IDC,TCIA	4
6667 CONTRA LATERAL	MR, nan	IDC,TCIA	4
6667 CONTRA-LATERAL	MR, nan	IDC,TCIA	4
CT Biopsy Retroperitoneal	CT, nan	IDC,TCIA	4
CT BIOPSY LUNG OR MEDI	CT, nan	IDC,TCIA	4
6667CONTRALAT. BREAST	MR, nan	IDC,TCIA	4
CT A/P LIVER PROT	SEG, nan	IDC,TCIA	4
CT ABD & PELVIS W/ + W/O CONTRAST	CT, nan	IDC,TCIA	4
CHEST 1 VIEW PA/AP	CR	MIDRC	4
CHEST (THORAX) WITHOUT	CT, nan	IDC,TCIA	4
CT ABD PELVIS W/ CONTRAST, CT ABD PELVIS W/O CONTRAST	CT, nan	IDC,TCIA	4
CT BRAIN W+WO CNTRST	CT, nan	IDC,TCIA	4
CH	CT, SEG, nan	IDC,TCIA	4
CBCC	CT, nan	IDC,TCIA	4
CARDIAG GATING	CT, nan	IDC,TCIA	4
CT ABD&PELVIS W/O C COLON TECHNIQUE	CT, nan	IDC,TCIA	4
CT Biopsy Lung	CT, nan	IDC,TCIA	4
ACRIN 6667-RESEARCH	MR, nan	IDC,TCIA	4
CT ABDOMEN PELVIS ENHANCED	CT, nan	IDC,TCIA	4
COLOGRAPHY SCREENING	CT, nan	IDC,TCIA	4
Abdomen^02_CAP_ONERUN (Adult)	CT, nan	IDC,TCIA	4
Abdomen^01ACRIN_Colonography _Prone	CT, nan	IDC,TCIA	4
CT CARD W/CON PULMNARY VEIN	CT	MIDRC	4
Abdomen^01APRoutine (Adult)	CT, nan	IDC,TCIA	4
CT ABDOMEN/PELVIS  (RENAL COLIC)	CT, nan	IDC,TCIA	4
CT ABDOMEN WITHOUT CONTRAST	CT	MIDRC	4
B MRI-RT THIGH	RTSTRUCT, MR, nan	IDC,TCIA	4
Abdomen^02 Chest-Abd-Pelvis 2	CT, nan	IDC,TCIA	4
CT CH/ABD/PEL(LIVER)	SEG, nan	IDC,TCIA	4
CT CH/ABD/PEL (LIVER)	CT, SEG, nan	IDC,TCIA	4
CT ABDOMEN wo	CT, nan	IDC,TCIA	4
Abdomen^1_ABD-PELV	CT, nan	IDC,TCIA	4
Abdomen^1CAP_WO_WC (Adult)	CT, nan	IDC,TCIA	4
Abdomen^01 ABD-PEL	CT, nan	IDC,TCIA	4
Abdomen^02_Chest_Abd (Adult)	CT, nan	IDC,TCIA	4
B LT THIGH	RTSTRUCT, nan	IDC,TCIA	4
Abdomen^04_CA (Adult)	CT, nan	IDC,TCIA	4
Abdomen^05_CAP (Adult)	CT, nan	IDC,TCIA	4
Abdomen^07_2_ACRIN COLONOGRAPHY (Adult)	CT, nan	IDC,TCIA	4
CT CH/AB/PEL	CT, SEG, nan	IDC,TCIA	4
CT CH/AB/PEL W/O CONTRAST	CT, nan	IDC,TCIA	4
Abdomen^urogram_STONE_gr (Adult)	CT	MIDRC	4
Abdomen^12_9_Liver_HCC_Hepatoma_Triphase (Adult)	SEG, nan	IDC,TCIA	4
CT CH/AB/PELVIS	CT, SEG, nan	IDC,TCIA	4
Abdomen^UROGRAM_2 (Adult)	RTSTRUCT, CT, nan	IDC,TCIA	4
Abdomen^1_CA	CT, nan	IDC,TCIA	4
CT ABDOMEN WITHOUT CON	CT, nan	IDC,TCIA	4
CT CAP W/WO	CT, SEG, nan	IDC,TCIA	4
Abdomen^2 BIPHASE LIVER_PANC	SEG, nan	IDC,TCIA	4
CT ABDOMEN W/WO CONTRA	CT, nan	IDC,TCIA	4
3607 MR BREAST WO/W CONT	MR, SEG	IDC	4
/PRO/BD   Pelvis w&w/oCon	SEG, nan	IDC,TCIA	4
*MRI - PELVIS	MR, nan	IDC,TCIA	4
CT ABDOMEN/PELVIS W AND W/O IV CONTRAST	RTSTRUCT, nan	IDC,TCIA	4
ACRIN6667/CONTRALAT BR	MR, nan	IDC,TCIA	4
ACRIN 6701 MRT Prostata Follow UP	PR, MR	ACRdart	4
ANKLE LEFT MIN 3 VIEWS	CR, DX	MIDRC	4
CT ABD AND PELVIS WWO IV CONT	CT, nan	IDC,TCIA,MIDRC	3
CT HEAD (BRAINLAB) W CONTRAST PRE-OP	CT	MIDRC	3
DUAL ABDOMEN(Adult)	CT	MIDRC	3
DX	DX	MIDRC	3
XR PELVIS 1-2 VIEWS	CR, DX	MIDRC	3
Cardiac^TAVR_BOLUSTRACKAdult (Adult)	CT	MIDRC	3
XR SCOLIOSIS STUDY 2 OR 3 VIEWS	DX	MIDRC	3
Thorax^LARGE_CHEST_WITHOUT_IV_CONTRAST (Adult)	nan	TCIA	3
CR XR PORTABLE FEEDING TUBE X-RAY	CR	MIDRC	3
CTA Chest W Embolus	CT	MIDRC	3
XR SPINE CERVICAL (AP + LAT)	CR, DX	MIDRC	3
CT FACE/SINUSES (BRAINLAB) WO CONTRAST	CT	MIDRC	3
CTA CHEST(Adult)	CT	MIDRC	3
Thorax^LOW_DOSE_CHEST_OVER_30_BMI (Adult)	CT	MIDRC	3
XR RIBS LEFT - 2 VIEWS	CR	MIDRC	3
CT ABD AND PELVIS WO IV CONTRAST	CT, nan	IDC,TCIA,MIDRC	3
XR RIGHT HIP 2+ VIEWS ORTHOPEDICS PRE OPERATIVE	CR, DX	MIDRC	3
Cardiac^DANIELS_ROUTINE (Adult)	CT	MIDRC	3
Cardiac^COR_HR_LESS_THAN_65 (Adult)	CT	MIDRC	3
Thorax^CTA_CHEST_Adult_Customized (Adult)	CT	MIDRC	3
XR LUMBAR SPINE 4+ VIEWS	DX	MIDRC	3
DCUABDNGPL	DX	MIDRC	3
CT HEART WITH CONTRAST	CT	MIDRC	3
XR RIGHT HUMERUS	CR, DX	MIDRC	3
Chest Post Line/Tube/ETT Init	CR	MIDRC	3
Cardiac^COR_HR_65to75 (Adult)	CT	MIDRC	3
Cardiac^CORONARY_PROSPECTIVE_MORE_PAD (Adult)	CT	MIDRC	3
DE ABDOMEN PELVIS(Adult)	CT	MIDRC	3
CT HEAD (PERFUSION ONLY)	CT	MIDRC	3
DG CHEST 1V	CR	MIDRC	3
Thorax^HI_RESOLUTION_CHEST (Adult)	CT	MIDRC	3
XR PELVIS 1 VIEW	CR, DX	MIDRC	3
X-RAY SHOULDER 1 VIEW - RIGHT	DX	MIDRC	3
CTA CHEST WITH CONTRAST - PE PROTOCOL	CT	MIDRC	3
Vascular^CTA_HEAD (Adult)	CT	MIDRC	3
XR HIP RIGHT 2-3 VIEWS WWO PELVIS	CR, DX	MIDRC	3
TUMOR LOCALWHOLE BODY SINGLE	NM, nan	IDC,TCIA,MIDRC	3
Vascular^Pre_AAA_STENT_ (Adult)	CT	MIDRC	3
CT THORAX W CONTRAST	CT	MIDRC	3
CT ABDOMEN PELVIS W CONTRAST (ENTEROGRAPHY)	CT	MIDRC	3
CT P ANGIO CHEST WWO	CT	MIDRC	3
X-RAY ABDOMEN POST TUBE PLACEMENT	DX	MIDRC	3
X-RAY BONE LENGTH STUDIES	DX	MIDRC	3
CT SPINE CERVICAL WO CONTRAST	CT	MIDRC	3
XR FOOT LEFT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	3
XR CERVICAL SPINE 4-5 VIEWS	CR, DX	MIDRC	3
X-RAY ELBOW 2 VIEWS - RIGHT	DX	MIDRC	3
X-RAY ELBOW COMPLETE MIN 3 VWS - RIGHT	DX	MIDRC	3
X-RAY ENTIRE SPINE SCOLIOSIS 2 OR 3 VIEWS	DX	MIDRC	3
X-RAY FEMUR MINIMUM 2 VIEWS - LEFT	DX	MIDRC	3
CT ABDOMEN W AND WO IV CONTRAST	CT	MIDRC	3
CT ABDOMEN W CONTRAST (CIRRHOSIS)	CT	MIDRC	3
X-RAY HIPS BILATERAL WITH PELVIS 2 VIEWS	DX	MIDRC	3
3607 MR RT BREAST WO/W CONT	MR, SEG	IDC	3
Vascular^CTA_PE (Adult)	CT	MIDRC	3
Vascular^CTA_CHEST_GR (Adult)	CT	MIDRC	3
CTA CHEST WITH CONTRAS	CT	MIDRC	3
CT Thorax w/Cont	SEG, nan	IDC,TCIA	3
XR LOWER LEG (TIBIA/FIBULA) LEFT	CR, DX	MIDRC	3
XR LEFT TIBIA FIBULA 2 VIEWS	CR, DX	MIDRC	3
CT ABD-PELV W/O CM	CT	MIDRC	3
CTA CHEST AND CT ABDOMEN AND PELVIS W CONT	CT	MIDRC	3
Thorax^TRAUMA_CHEST_ABD_PEL_WITH (Adult)	CT	MIDRC	3
CTA CERVICAL CAROTIDS-CS	CT	MIDRC	3
X-RAY TOE(S) MINIMUM 2 VIEWS - LEFT	CR, DX	MIDRC	3
XR LEFT KNEE 3 VIEWS	CR, DX	MIDRC	3
Thorax^XL_CTA_CHEST (Adult)	CT	MIDRC	3
CTA ABDOMEN AND PELVIS	CT	MIDRC	3
ULTRASOUND T1 F/U 1	US	ACRdart	3
US ABDOMEN LIMITED	US	MIDRC	3
US LOWER EXTREMITY VENOUS DUPLEX LTD	US	MIDRC	3
US SOFT TISSUE HEAD/NECK	US	MIDRC	3
CT UROGRAPHY	CT	MIDRC	3
Ultrasound Guided Core Biopsy	US	ACRdart	3
CT LUNG NODULE F/U	CT	MIDRC	3
CT ABDOMEN WO CONTRAST (ROUTINE)	CT	MIDRC	3
XR LEFT ELBOW 1-2 VIEWS	CR, DX	MIDRC	3
XR LEFT KNEE 4+ VIEWS (TRAUMA)	CR, DX	MIDRC	3
MRI MRCP	MR, nan	IDC,TCIA,MIDRC	3
TRAUMA CHEST AP PORTABLE	CR, nan	IDC,TCIA,MIDRC	3
Mg. Mammo Digital Screening Bilateral	MG	ACRdart	3
MRI THORACIC SPINE W/O CONTRAST	MR	MIDRC	3
MRI THORACIC SPINE WO/W IV CONTRAST	MR	MIDRC	3
BR SV	US	ACRdart	3
ACRIN 6701 MRT Prostata Baseline	PR, MR	ACRdart	3
BR-BX BrstCoreL	US	ACRdart	3
BR-BX BrstCoreR	US	ACRdart	3
BR-Breast US_RT	US	ACRdart	3
ABOVE 30 BMI LUNG LOW DOSE(Adult)	CT	MIDRC	3
MR BREAST BI W O W CONTRAST	MR	ACRdart,IDC	3
Mammo-Digital Screening Employee w/ Tomo	MG	ACRdart,IDC	3
MR BRAIN WITHOUT CONTRAST (S)	MR	MIDRC	3
MRI SHOULDER WO CONTRAST - LEFT	MR	MIDRC	3
MR BRAIN WITH AND WITHOUT CONTRAST (S)	MR	MIDRC	3
NM LUNG VENTILATION/PERFUSION SCAN	NM	MIDRC	3
NM MYOCARDIAL EXERCISE TREADMILL STRESS ECG	NM, NM,CT	MIDRC	3
ABDOMEN SERIES FLAT AND ERECT PORTABLE	CR, nan	IDC,TCIA,MIDRC	3
MR ABDOMEN WITH AND WITHOUT CONTRAST	MR	MIDRC	3
BREAST-LEFT	MR, nan	IDC,TCIA	3
NUC MED BONE/JOINT IMAGING WHOLE BODY	NM	MIDRC	3
Normal	CT	IDC	3
ABDOMEN 1 VIEW KUB	CR	MIDRC	3
MMSCRCOMBO	MG	ACRdart,IDC	3
MRI SPINE SURVEY WO/W IV CONTRAST	MR	MIDRC	3
MRI PROSTATE WO/W CONTRAST	MR	MIDRC	3
BRST TOMO BILAT MAMMO	MG	ACRdart	3
Abdomen^ROUTINE_AP_WITH_UNDER_50_OVER_250 (Adult)	CT	MIDRC	3
MRI ABDOMEN WO/W CONTRAST	MR	MIDRC	3
MRI BREAST BILAT COMPLETE O/P	MR	ACRdart,IDC	3
MRI BREAST BILAT PRE&POST INF	MR	IDC	3
MRI ABD WO IV CONT	MR, nan	IDC,TCIA,MIDRC	3
MRI BREAST BILATERAL WO/W CONTRAST	MR	MIDRC	3
Abdomen^ABD_PELVIS_WITHOUT (Adult)	CT	MIDRC	3
Abdomen^AB20_LOWER_GIB (Adult)	CT	MIDRC	3
Abdomen^6_DUAL_PHASE (Adult)	CT	MIDRC	3
MR THORACIC SPINE WITH AND WITHOUT CONTRAST (S)	MR	MIDRC	3
MR THORACIC SPINE WITH AND WITHOUT CONTRAST	MR	MIDRC	3
Abdomen^ROUTINE_AP_WO (Adult)	CT	MIDRC	3
BI BREAST SCREENING BILATERAL	MG	ACRdart,IDC	3
MR Research Grant Stu?	MR, SEG	IDC	3
MRI CARDIAC WO/W CONTRAST	MR	MIDRC	3
Abdomen^11_ADRENAL (Adult)	CT	MIDRC	3
MR PROSTATE WITH AND WITHOUT CONTRAST	MR	MIDRC	3
Abdomen^XL_AP_WITH (Adult)	CT	MIDRC	3
MRI HIP WITHOUT CONTRAST-LEFT	MR	MIDRC	3
MRI LUMBAR SPINE WO/W IV CONTRAST	MR	MIDRC	3
MRI PELVIS BONE W/O CONTRAST	MR	MIDRC	3
BD/PRO Pelvis w	SEG, nan	IDC,TCIA	3
BELOW 30 BMI LUNG LW DOSE_LUNG SCREEN(Adult)	CT	MIDRC	3
BREAST^SENTINELLE  COIL	MR	ACRdart,IDC	3
MG MAMMO+3D SCREEN	MG	ACRdart,IDC	3
TRANSESOPHAGEAL ECHO	US	MIDRC	3
HIP RIGHT 2 VIEWS LATERAL AND AP PELVIS (ROUTINE)	CR	MIDRC	3
JCCI CT CHEST/PELVIS	CT	MIDRC	3
